# Geant4 Stopping Power Data
# Particle: proton
# Material: water
# Physics Model: EM_option4
# Density: 1.0 g/cm³
#
# Energy units: MeV
# dE/dx units: MeV/cm
# Mass dE/dx units: MeV·cm²/g
#
   Energy (MeV)     Total dE/dx (MeV/cm)      Total Mass dE/dx (MeV cm^2/g)
       119.1000                   4.7579                             4.7579
       120.1000                   4.7292                             4.7292
       120.6000                   4.7150                             4.7150
       121.6000                   4.6870                             4.6870
       122.1000                   4.6731                             4.6731
       123.1000                   4.6457                             4.6457
       123.6000                   4.6322                             4.6322
       124.6000                   4.6054                             4.6054
       125.1000                   4.5922                             4.5922
       126.1000                   4.5661                             4.5661
       126.6000                   4.5531                             4.5531
       127.6000                   4.5276                             4.5276
       128.1000                   4.5149                             4.5149
       129.1000                   4.4899                             4.4899
       129.6000                   4.4775                             4.4775
       130.6000                   4.4531                             4.4531
       131.1000                   4.4410                             4.4410
       132.1000                   4.4171                             4.4171
       132.6000                   4.4052                             4.4052
       133.6000                   4.3818                             4.3818
       134.1000                   4.3702                             4.3702
       135.1000                   4.3473                             4.3473
       135.6000                   4.3359                             4.3359
       136.6000                   4.3135                             4.3135
       137.1000                   4.3024                             4.3024
       138.1000                   4.2804                             4.2804
       138.6000                   4.2695                             4.2695
       139.6000                   4.2480                             4.2480
       140.1000                   4.2373                             4.2373
       141.1000                   4.2162                             4.2162
       141.6000                   4.2058                             4.2058
       142.6000                   4.1851                             4.1851
       143.1000                   4.1749                             4.1749
       144.1000                   4.1546                             4.1546
       144.6000                   4.1446                             4.1446
       145.6000                   4.1247                             4.1247
       146.1000                   4.1148                             4.1148
       147.1000                   4.0954                             4.0954
       147.6000                   4.0857                             4.0857
       148.6000                   4.0666                             4.0666
       149.1000                   4.0571                             4.0571
       150.1000                   4.0384                             4.0384
       150.6000                   4.0291                             4.0291
       151.6000                   4.0107                             4.0107
       152.1000                   4.0016                             4.0016
       153.1000                   3.9836                             3.9836
       153.6000                   3.9746                             3.9746
       154.6000                   3.9569                             3.9569
       155.1000                   3.9481                             3.9481
       156.1000                   3.9308                             3.9308
       156.6000                   3.9221                             3.9221
       157.6000                   3.9051                             3.9051
       158.1000                   3.8966                             3.8966
       159.1000                   3.8799                             3.8799
       159.6000                   3.8715                             3.8715
       160.6000                   3.8551                             3.8551
       161.1000                   3.8469                             3.8469
       162.1000                   3.8308                             3.8308
       162.6000                   3.8227                             3.8227
       163.6000                   3.8069                             3.8069
       164.1000                   3.7990                             3.7990
       165.1000                   3.7834                             3.7834
       165.6000                   3.7756                             3.7756
       166.6000                   3.7603                             3.7603
       167.1000                   3.7527                             3.7527
       168.1000                   3.7376                             3.7376
       168.6000                   3.7301                             3.7301
       169.6000                   3.7153                             3.7153
       170.1000                   3.7080                             3.7080
       171.1000                   3.6934                             3.6934
       171.6000                   3.6862                             3.6862
       172.6000                   3.6718                             3.6718
       173.1000                   3.6647                             3.6647
       174.1000                   3.6506                             3.6506
       174.6000                   3.6437                             3.6437
       175.6000                   3.6298                             3.6298
       176.1000                   3.6229                             3.6229
       177.1000                   3.6093                             3.6093
       177.6000                   3.6025                             3.6025
       178.6000                   3.5891                             3.5891
       179.1000                   3.5825                             3.5825
       180.1000                   3.5693                             3.5693
       180.6000                   3.5627                             3.5627
       181.6000                   3.5497                             3.5497
       182.1000                   3.5433                             3.5433
       183.1000                   3.5305                             3.5305
       183.6000                   3.5241                             3.5241
       184.6000                   3.5116                             3.5116
       185.1000                   3.5053                             3.5053
       186.1000                   3.4929                             3.4929
       186.6000                   3.4868                             3.4868
       187.6000                   3.4746                             3.4746
       188.1000                   3.4685                             3.4685
       189.1000                   3.4565                             3.4565
       189.6000                   3.4506                             3.4506
       190.6000                   3.4387                             3.4387
       191.1000                   3.4329                             3.4329
       192.1000                   3.4212                             3.4212
       192.6000                   3.4154                             3.4154
       193.6000                   3.4039                             3.4039
       194.1000                   3.3983                             3.3983
       195.1000                   3.3869                             3.3869
       195.6000                   3.3813                             3.3813
       196.6000                   3.3702                             3.3702
       197.1000                   3.3647                             3.3647
       198.1000                   3.3537                             3.3537
       198.6000                   3.3482                             3.3482
       199.6000                   3.3374                             3.3374
       200.1000                   3.3321                             3.3321
       201.1000                   3.3214                             3.3214
       201.6000                   3.3161                             3.3161
       202.6000                   3.3056                             3.3056
       203.1000                   3.3004                             3.3004
       204.1000                   3.2900                             3.2900
       204.6000                   3.2849                             3.2849
       205.6000                   3.2747                             3.2747
       206.1000                   3.2696                             3.2696
       207.1000                   3.2595                             3.2595
       207.6000                   3.2545                             3.2545
       208.6000                   3.2446                             3.2446
       209.1000                   3.2397                             3.2397
       210.1000                   3.2299                             3.2299
       210.6000                   3.2250                             3.2250
       211.6000                   3.2154                             3.2154
       212.1000                   3.2106                             3.2106
